property,description
author.unique_id_modify_time,Last user id modification timestamp
author.user_canceled,-unknown-
author.user_mode,-unknown-
author.user_now_pack_info,-unknown-
author.user_period,-unknown-
author.user_profile_guide,-unknown-
author.user_rate,-unknown-
author.user_tags,-unknown-
author.verification_type,-unknown-
author.verify_info,-unknown-
author.video_icon.height,-unknown-
author.video_icon.uri,-unknown-
author.video_icon.width,-unknown-
author.white_cover_url,-unknown-
author.with_commerce_entry,-unknown-
author.with_shop_entry,-unknown-
author.youtube_channel_id,-unknown-
author.youtube_channel_title,-unknown-
author.youtube_expire_time,-unknown-
aweme_acl.download_general.code,-unknown-
aweme_acl.download_general.extra,-unknown-
aweme_acl.download_general.mute,-unknown-
aweme_acl.download_general.show_type,-unknown-
aweme_acl.download_general.toast_msg,-unknown-
aweme_acl.download_general.transcode,-unknown-
aweme_acl.download_mask_panel.code,-unknown-
aweme_acl.download_mask_panel.extra,-unknown-
aweme_acl.download_mask_panel.mute,-unknown-
aweme_acl.download_mask_panel.show_type,-unknown-
aweme_acl.download_mask_panel.transcode,-unknown-
aweme_acl.platform_list,-unknown-
aweme_acl.share_general.code,-unknown-
aweme_acl.share_general.extra,-unknown-
aweme_acl.share_general.mute,-unknown-
aweme_acl.share_general.show_type,-unknown-
aweme_acl.share_general.toast_msg,-unknown-
aweme_acl.share_general.transcode,-unknown-
aweme_acl.share_list_status,-unknown-
aweme_acl.share_third_platform.code,-unknown-
aweme_acl.share_third_platform.extra,-unknown-
aweme_acl.share_third_platform.mute,-unknown-
aweme_acl.share_third_platform.show_type,-unknown-
aweme_acl.share_third_platform.toast_msg,-unknown-
aweme_acl.share_third_platform.transcode,-unknown-
aweme_detail.id,-unknown-
aweme_detail.log_pb.impr_id,-unknown-
aweme_detail.status_code,-unknown-
aweme_detail.status_msg,-unknown-
aweme_id,-unknown-
aweme_type,-unknown-
behind_the_song_music_ids,-unknown-
behind_the_song_video_music_ids,-unknown-
bodydance_score,-unknown-
branded_content_accounts,-unknown-
cc_template_info.author_name,CapCut template author
cc_template_info.clip_count,-unknown-
cc_template_info.desc,CapCut template description
cc_template_info.duration_milliseconds,-unknown-
cc_template_info.related_music_id,-unknown-
cc_template_info.template_id,CapCut template id
cha_list.author_label,-unknown-
cha_list.author.account_labels,-unknown-
cha_list.author.ad_cover_url,-unknown-
cha_list.author.advance_feature_item_order,-unknown-
cha_list.author.advanced_feature_info,-unknown-
cha_list.author.bold_fields,-unknown-
cha_list.author.can_message_follow_status_list,-unknown-
cha_list.author.can_set_geofencing,-unknown-
cha_list.author.cha_list,-unknown-
cha_list.author.cover_url,-unknown-
cha_list.author.events,-unknown-
cha_list.author.followers_detail,-unknown-
cha_list.author.geofencing,-unknown-
cha_list.author.homepage_bottom_toast,-unknown-
cha_list.author.item_list,-unknown-
cha_list.author.mutual_relation_avatars,-unknown-
cha_list.author.need_points,-unknown-
cha_list.author.platform_sync_info,-unknown-
cha_list.author.relative_users,-unknown-
cha_list.author.search_highlight,-unknown-
cha_list.author.shield_edit_field_info,-unknown-
cha_list.author.user_profile_guide,-unknown-
cha_list.author.user_tags,-unknown-
cha_list.author.white_cover_url,-unknown-
cha_list.banner_list,-unknown-
cha_list.cha_attrs,-unknown-
cha_list.cha_name,-unknown-
cha_list.cid,Challenge id
cha_list.collect_stat,-unknown-
cha_list.connect_music,-unknown-
cha_list.desc,Challenge description
cha_list.extra_attr.is_live,-unknown-
cha_list.hashtag_profile,-unknown-
cha_list.is_challenge,-unknown-
cha_list.is_commerce,Whether the challenge is part of a commercial campaign
cha_list.is_pgcshow,-unknown-
cha_list.schema,-unknown-
cha_list.search_highlight,-unknown-
cha_list.share_info.bool_persist,-unknown-
cha_list.share_info.now_invitation_card_image_urls,-unknown-
cha_list.share_info.share_desc,-unknown-
cha_list.share_info.share_desc_info,-unknown-
cha_list.share_info.share_quote,-unknown-
cha_list.share_info.share_signature_desc,-unknown-
cha_list.share_info.share_signature_url,-unknown-
cha_list.share_info.share_title,-unknown-
cha_list.share_info.share_title_myself,-unknown-
cha_list.share_info.share_title_other,-unknown-
cha_list.share_info.share_url,-unknown-
cha_list.show_items,-unknown-
cha_list.sub_type,-unknown-
cha_list.type,-unknown-
cha_list.use_count,-unknown-
cha_list.user_count,-unknown-
cha_list.view_count,-unknown-
challenge_position,-unknown-
cmt_swt,-unknown-
collect_stat,-unknown-
commerce_config_data,-unknown-
commerce_info.ad_source,-unknown-
commerce_info.adv_promotable,-unknown-
commerce_info.auction_ad_invited,-unknown-
commerce_info.bc_label_test_text,-unknown-
commerce_info.dark_post_source,-unknown-
commerce_info.dark_post_status,-unknown-
commerce_info.prevent_share,-unknown-
commerce_info.study_id,-unknown-
commerce_info.with_comment_filter_words,-unknown-
content_desc,-unknown-
content_desc_extra.aweme_id,-unknown-
content_desc_extra.end,-unknown-
content_desc_extra.hashtag_id,-unknown-
content_desc_extra.hashtag_name,-unknown-
content_desc_extra.is_commerce,-unknown-
content_desc_extra.line_idx,-unknown-
content_desc_extra.sec_uid,-unknown-
content_desc_extra.start,-unknown-
content_desc_extra.sub_type,-unknown-
content_desc_extra.user_id,-unknown-
content_original_type,-unknown-
cover_labels,-unknown-
create_time,Timestamp of when the video was posted
desc,-unknown-
desc_language,-unknown-
disable_search_trending_bar,-unknown-
distance,-unknown-
distribute_type,-unknown-
duet_info.original_item_id,-unknown-
follow_up_publish_from_id,-unknown-
geofencing,-unknown-
geofencing_regions,-unknown-
green_screen_materials,-unknown-
group_id,-unknown-
group_id_list.GroupdIdList0,-unknown-
